"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 4","Dulse 2","22",8,0.0866666666666667,0.210666666666667
"Plate 4","Dulse 2","22",10,0.095,0.199666666666667
"Plate 4","Dulse 2","22",12,0.149666666666667,0.224333333333333
"Plate 4","Dulse 2","22",14,0.116,0.208
"Plate 4","Dulse 2","22",16,0.125,0.203666666666667
"Plate 4","Dulse 2","23",2,0.0513333333333333,0.233
"Plate 4","Dulse 2","23",4,0.0736666666666666,0.229
"Plate 4","Dulse 2","23",6,0.122166666666667,0.258333333333333
"Plate 4","Dulse 2","23",8,0.105,0.210666666666667
"Plate 4","Dulse 2","23",10,0.111333333333333,0.199666666666667
"Plate 4","Dulse 2","23",12,0.14,0.224333333333333
"Plate 4","Dulse 2","23",14,0.167,0.208
"Plate 4","Dulse 2","23",16,0.159,0.203666666666667
"Plate 4","Dulse 2","24",2,-0.00733333333333336,0.233
"Plate 4","Dulse 2","24",4,0.057,0.229
"Plate 4","Dulse 2","24",6,0.103166666666667,0.258333333333333
"Plate 4","Dulse 2","24",8,0.04,0.210666666666667
"Plate 4","Dulse 2","24",10,0.0610000000000001,0.199666666666667
"Plate 4","Dulse 2","24",12,0.0623333333333334,0.224333333333333
"Plate 4","Dulse 2","24",14,0.09,0.208
"Plate 4","Dulse 2","24",16,0.0866666666666667,0.203666666666667
"Plate 4","Dulse 3","1",2,0.057,0.146
"Plate 4","Dulse 3","1",4,0.0523333333333333,0.147
"Plate 4","Dulse 3","1",6,0.0383333333333333,0.177666666666667
"Plate 4","Dulse 3","1",8,0.0183333333333333,0.144333333333333
"Plate 4","Dulse 3","1",10,0.0483333333333333,0.145
"Plate 4","Dulse 3","1",12,0.133666666666667,0.147
"Plate 4","Dulse 3","1",14,0.132333333333333,0.132666666666667
"Plate 4","Dulse 3","1",16,0.133,0.141333333333333
"Plate 4","Dulse 3","10",2,0.0466666666666667,0.146
"Plate 4","Dulse 3","10",4,0.0136666666666667,0.147
"Plate 4","Dulse 3","10",6,0.004,0.177666666666667
"Plate 4","Dulse 3","10",8,0.037,0.144333333333333
"Plate 4","Dulse 3","10",10,0.091,0.145
"Plate 4","Dulse 3","10",12,0.126666666666667,0.147
"Plate 4","Dulse 3","10",14,0.145333333333333,0.132666666666667
"Plate 4","Dulse 3","10",16,0.144333333333333,0.141333333333333
"Plate 4","Dulse 3","2",2,0.023,0.146
"Plate 4","Dulse 3","2",4,0.0126666666666667,0.147
"Plate 4","Dulse 3","2",6,-0.00433333333333333,0.177666666666667
"Plate 4","Dulse 3","2",8,0.0326666666666666,0.144333333333333
"Plate 4","Dulse 3","2",10,0.094,0.145
"Plate 4","Dulse 3","2",12,0.171333333333333,0.147
"Plate 4","Dulse 3","2",14,0.168666666666667,0.132666666666667
"Plate 4","Dulse 3","2",16,0.159,0.141333333333333
"Plate 4","Dulse 3","3",2,0.0105,0.146
"Plate 4","Dulse 3","3",4,0.029,0.147
"Plate 4","Dulse 3","3",6,0.00800000000000001,0.177666666666667
"Plate 4","Dulse 3","3",8,0.024,0.144333333333333
"Plate 4","Dulse 3","3",10,0.016,0.145
"Plate 4","Dulse 3","3",12,0.028,0.147
"Plate 4","Dulse 3","3",14,0.0396666666666667,0.132666666666667
"Plate 4","Dulse 3","3",16,0.0133333333333333,0.141333333333333
"Plate 4","Dulse 3","4",2,-0.00266666666666665,0.146
"Plate 4","Dulse 3","4",4,0.00166666666666668,0.147
"Plate 4","Dulse 3","4",6,-0.02,0.177666666666667
"Plate 4","Dulse 3","4",8,0.026,0.144333333333333
"Plate 4","Dulse 3","4",10,0.0283333333333333,0.145
"Plate 4","Dulse 3","4",12,0.0536666666666667,0.147
"Plate 4","Dulse 3","4",14,0.0416666666666667,0.132666666666667
"Plate 4","Dulse 3","4",16,0.0496666666666667,0.141333333333333
"Plate 4","Dulse 3","5",2,0.0366666666666667,0.146
"Plate 4","Dulse 3","5",4,0.019,0.147
"Plate 4","Dulse 3","5",6,0,0.177666666666667
"Plate 4","Dulse 3","5",8,0.037,0.144333333333333
"Plate 4","Dulse 3","5",10,0.101666666666667,0.145
"Plate 4","Dulse 3","5",12,0.16,0.147
"Plate 4","Dulse 3","5",14,0.152666666666667,0.132666666666667
"Plate 4","Dulse 3","5",16,0.153333333333333,0.141333333333333
"Plate 4","Dulse 3","6",2,0.013,0.146
"Plate 4","Dulse 3","6",4,0.00866666666666668,0.147
"Plate 4","Dulse 3","6",6,0.00633333333333333,0.177666666666667
"Plate 4","Dulse 3","6",8,0.049,0.144333333333333
"Plate 4","Dulse 3","6",10,0.094,0.145
"Plate 4","Dulse 3","6",12,0.125666666666667,0.147
"Plate 4","Dulse 3","6",14,0.15,0.132666666666667
