"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 3","Dulse 2","15",14,0.175333333333333,0.112666666666667
"Plate 3","Dulse 2","15",16,0.207,0.0916666666666667
"Plate 3","Dulse 2","16",2,0.0593333333333333,0.106666666666667
"Plate 3","Dulse 2","16",4,0.054,0.0906666666666667
"Plate 3","Dulse 2","16",6,0.0583333333333333,0.126
"Plate 3","Dulse 2","16",8,0.0993333333333333,0.094
"Plate 3","Dulse 2","16",10,0.124,0.0983333333333333
"Plate 3","Dulse 2","16",12,0.146666666666667,0.091
"Plate 3","Dulse 2","16",14,0.130333333333333,0.112666666666667
"Plate 3","Dulse 2","16",16,0.150666666666667,0.0916666666666667
"Plate 3","Dulse 2","17",2,0.0306666666666667,0.106666666666667
"Plate 3","Dulse 2","17",4,0.031,0.0906666666666667
"Plate 3","Dulse 2","17",6,0.03,0.126
"Plate 3","Dulse 2","17",8,0.0603333333333333,0.094
"Plate 3","Dulse 2","17",10,0.132333333333333,0.0983333333333333
"Plate 3","Dulse 2","17",12,0.179333333333333,0.091
"Plate 3","Dulse 2","17",14,0.229666666666667,0.112666666666667
"Plate 3","Dulse 2","17",16,0.22,0.0916666666666667
"Plate 3","Dulse 2","18",2,0.0186666666666667,0.106666666666667
"Plate 3","Dulse 2","18",4,0.0816666666666667,0.0906666666666667
"Plate 3","Dulse 2","18",6,0.0275,0.126
"Plate 3","Dulse 2","18",8,0.104,0.094
"Plate 3","Dulse 2","18",10,0.175333333333333,0.0983333333333333
"Plate 3","Dulse 2","18",12,0.259,0.091
"Plate 3","Dulse 2","18",14,0.206333333333333,0.112666666666667
"Plate 3","Dulse 2","18",16,0.219,0.0916666666666667
"Plate 3","Dulse 2","19",2,0.0238333333333333,0.106666666666667
"Plate 3","Dulse 2","19",4,0.049,0.0906666666666667
"Plate 3","Dulse 2","19",6,0.0456666666666667,0.126
"Plate 3","Dulse 2","19",8,0.100333333333333,0.094
"Plate 3","Dulse 2","19",10,0.132666666666667,0.0983333333333333
"Plate 3","Dulse 2","19",12,0.153,0.091
"Plate 3","Dulse 2","19",14,0.148,0.112666666666667
"Plate 3","Dulse 2","19",16,0.156666666666667,0.0916666666666667
"Plate 3","Dulse 2","20",2,0.00933333333333335,0.106666666666667
"Plate 3","Dulse 2","20",4,0.0246666666666667,0.0906666666666667
"Plate 3","Dulse 2","20",6,0.00233333333333333,0.126
"Plate 3","Dulse 2","20",8,0.0323333333333334,0.094
"Plate 3","Dulse 2","20",10,0.0613333333333333,0.0983333333333333
"Plate 3","Dulse 2","20",12,0.16,0.091
"Plate 3","Dulse 2","20",14,0.222666666666667,0.112666666666667
"Plate 3","Dulse 2","20",16,0.199,0.0916666666666667
"Plate 3","Dulse 2","6",2,0.0746666666666667,0.106666666666667
"Plate 3","Dulse 2","6",4,0.0443333333333333,0.0906666666666667
"Plate 3","Dulse 2","6",6,0.054,0.126
"Plate 3","Dulse 2","6",8,0.0606666666666667,0.094
"Plate 3","Dulse 2","6",10,0.075,0.0983333333333333
"Plate 3","Dulse 2","6",12,0.0856666666666667,0.091
"Plate 3","Dulse 2","6",14,0.0623333333333333,0.112666666666667
"Plate 3","Dulse 2","6",16,0.093,0.0916666666666667
"Plate 3","Dulse 2","7",2,0.0443333333333333,0.106666666666667
"Plate 3","Dulse 2","7",4,0.0846666666666667,0.0906666666666667
"Plate 3","Dulse 2","7",6,NA,0.126
"Plate 3","Dulse 2","7",8,0.119333333333333,0.094
"Plate 3","Dulse 2","7",10,0.133333333333333,0.0983333333333333
"Plate 3","Dulse 2","7",12,0.156,0.091
"Plate 3","Dulse 2","7",14,0.121333333333333,0.112666666666667
"Plate 3","Dulse 2","7",16,0.116666666666667,0.0916666666666667
"Plate 3","Dulse 2","8",2,0.0546666666666667,0.106666666666667
"Plate 3","Dulse 2","8",4,0.023,0.0906666666666667
"Plate 3","Dulse 2","8",6,0.00233333333333333,0.126
"Plate 3","Dulse 2","8",8,0.078,0.094
"Plate 3","Dulse 2","8",10,0.03,0.0983333333333333
